,crow,ccol,object,float64,int64,bool,cnan,categorical,string
books.csv,550.0,7.0,3.0,1.0,3.0,0.0,0.0,1.0,2.0
GE_data.csv,208636.0,5.0,4.0,0.0,2.0,0.0,0.0,3.0,0.0
Hotel_Reviews_EU.csv,478394.0,17.0,8.0,4.0,5.0,0.0,5312.0,6.0,2.0
people-hiv.csv,173.0,95.0,95.0,0.0,0.0,0.0,0.0,1.0,94.0
ukraine-crisis.csv,66722.0,21.0,13.0,4.0,6.0,0.0,142286.0,10.0,1.0
videos.csv,38916.0,16.0,8.0,0.0,5.0,3.0,612.0,8.0,0.0
admissions_releases_states.csv,1914.0,16.0,2.0,8.0,6.0,0.0,0.0,2.0,0.0
air_index.csv,7323.0,21.0,2.0,18.0,1.0,0.0,19171.0,1.0,1.0
AQI and Lat Long of Countries.csv,16695.0,14.0,7.0,2.0,5.0,0.0,302.0,6.0,1.0
atp_tennis.csv,60101.0,17.0,10.0,2.0,5.0,0.0,0.0,10.0,0.0
countries-by-intentional-homicide-rate.csv,195.0,6.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0
crude suicide rates.csv,916.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0
GOOGLE.csv,4717.0,6.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0
gss_abortion.csv,64814.0,19.0,3.0,13.0,3.0,0.0,276577.0,3.0,0.0
penguins_raw.csv,344.0,18.0,10.0,7.0,2.0,0.0,336.0,8.0,1.0
piano_comp.csv,917.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
population.csv,234.0,18.0,4.0,3.0,11.0,0.0,0.0,1.0,3.0
serial_killers.csv,1531.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,3.0
spotify-streaming-top-50-world.csv,300.0,11.0,6.0,0.0,4.0,1.0,0.0,6.0,0.0
Travel Company New Clients.csv,1303.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
USA_Housing.csv,5000.0,7.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0
us_births_2016_2021.csv,5496.0,9.0,4.0,2.0,3.0,0.0,0.0,4.0,0.0
wdi_wide.csv,217.0,16.0,5.0,11.0,0.0,0.0,140.0,4.0,1.0
worlds all cities with their avg temp - Sheet1.csv,465.0,16.0,16.0,0.0,0.0,0.0,2.0,0.0,16.0
world_pop.csv,216.0,63.0,1.0,42.0,20.0,0.0,42.0,0.0,1.0
